"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 16:52:58 GMT+08:00 2022","Mon Jun 13 16:55:04 GMT+08:00 2022","126199","demo.E-wallet_deposit.e-wallet_deposit_bin","test_ewallet_deposit","Test_Ewallet_deposit","","","ewallet入金测试报告","读取测试文档数据，执行用例"
"passed","Mon Jun 13 16:49:46 GMT+08:00 2022","Mon Jun 13 16:52:36 GMT+08:00 2022","169607","demo.E-wallet_deposit.e-wallet_deposit_bin","test_ewallet_deposit","Test_Ewallet_deposit","","","ewallet入金测试报告","读取测试文档数据，执行用例"
