"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jun 04 11:26:06 GMT+08:00 2021","Fri Jun 04 11:27:19 GMT+08:00 2021","72686","demo.withdrawal.withdrawal_bin","test_withdrawal_cp_bin","Test_withdrawal_actions_incp","","","交易账号出金","读取测试文档数据，判断是否具有出金条件"
"skipped","Fri Jun 04 11:29:35 GMT+08:00 2021","Fri Jun 04 11:29:59 GMT+08:00 2021","23798","demo.withdrawal.withdrawal_bin","test_withdrawal_cp_bin","Test_withdrawal_actions_incp","","","交易账号出金","读取测试文档数据，判断是否具有出金条件"
"passed","Fri Jun 04 11:27:19 GMT+08:00 2021","Fri Jun 04 11:29:35 GMT+08:00 2021","135865","demo.withdrawal.withdrawal_bin","test_withdrawal_cp_bin","Test_withdrawal_actions_incp","","","交易账号出金","读取测试文档数据，判断是否具有出金条件"
