"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 27 10:40:24 GMT+08:00 2022","Wed Apr 27 10:41:28 GMT+08:00 2022","64511","demo.IB_Close_Open_Order_List.actions_bin","Test_ib_close_order_list","Test_IB_Open_OrderList","","","IB下级已平仓订单数据核对报告","读取测试文档数据，执行用例"
"passed","Wed Apr 27 10:39:15 GMT+08:00 2022","Wed Apr 27 10:40:23 GMT+08:00 2022","68293","demo.IB_Close_Open_Order_List.actions_bin","Test_ib_close_order_list","Test_IB_Open_OrderList","","","IB下级已平仓订单数据核对报告","读取测试文档数据，执行用例"
